date,mailroom,tier,actual_count,predicted_count,pred_sd,lower_95,upper_95,split,day_of_week,month_name,lockers,is_open,model_used,utilization_pct,overflow_units,risk_flag
2024-10-05,Tower B,large,80,78.6,50.1,0.0,176.8,train,Saturday,October,577,True,hgb_poisson|lean,13.6,0,OK
2024-10-07,Tower B,large,373,190.5,78.0,37.7,343.4,train,Monday,October,577,True,hgb_poisson|lean,33.0,0,OK
2024-10-08,Tower B,large,128,212.0,82.3,50.8,373.2,train,Tuesday,October,577,True,hgb_poisson|lean,36.7,0,OK
2024-10-09,Tower B,large,115,211.9,82.2,50.7,373.1,train,Wednesday,October,577,True,hgb_poisson|lean,36.7,0,OK
2024-10-10,Tower B,large,351,218.9,83.6,55.1,382.7,train,Thursday,October,577,True,hgb_poisson|lean,37.9,0,OK
2024-10-11,Tower B,large,157,188.5,77.6,36.5,340.5,train,Friday,October,577,True,hgb_poisson|lean,32.7,0,OK
2024-10-12,Tower B,large,63,78.6,50.1,0.0,176.8,train,Saturday,October,577,True,hgb_poisson|lean,13.6,0,OK
2024-10-14,Tower B,large,43,181.2,76.1,32.2,330.3,train,Monday,October,577,True,hgb_poisson|lean,31.4,0,OK
2024-10-15,Tower B,large,221,210.8,82.0,50.0,371.5,train,Tuesday,October,577,True,hgb_poisson|lean,36.5,0,OK
2024-10-16,Tower B,large,199,218.9,83.6,55.1,382.8,train,Wednesday,October,577,True,hgb_poisson|lean,37.9,0,OK
2024-10-17,Tower B,large,233,162.4,72.0,21.3,303.5,train,Thursday,October,577,True,hgb_poisson|lean,28.1,0,OK
2024-10-18,Tower B,large,142,194.6,78.8,40.1,349.0,train,Friday,October,577,True,hgb_poisson|lean,33.7,0,OK
2024-10-19,Tower B,large,128,78.1,49.9,0.0,176.0,train,Saturday,October,577,True,hgb_poisson|lean,13.5,0,OK
2024-10-21,Tower B,large,258,192.2,78.3,38.7,345.8,train,Monday,October,577,True,hgb_poisson|lean,33.3,0,OK
2024-10-22,Tower B,large,129,210.8,82.0,50.0,371.5,train,Tuesday,October,577,True,hgb_poisson|lean,36.5,0,OK
2024-10-23,Tower B,large,274,218.9,83.6,55.1,382.8,train,Wednesday,October,577,True,hgb_poisson|lean,37.9,0,OK
2024-10-24,Tower B,large,223,207.7,81.4,48.1,367.3,train,Thursday,October,577,True,hgb_poisson|lean,36.0,0,OK
2024-10-25,Tower B,large,195,192.2,78.3,38.7,345.8,train,Friday,October,577,True,hgb_poisson|lean,33.3,0,OK
2024-10-26,Tower B,large,105,80.6,50.7,0.0,180.1,train,Saturday,October,577,True,hgb_poisson|lean,14.0,0,OK
2024-10-28,Tower B,large,178,140.5,67.0,9.2,271.7,train,Monday,October,577,True,hgb_poisson|lean,24.4,0,OK
2024-10-29,Tower B,large,233,210.8,82.0,50.0,371.5,train,Tuesday,October,577,True,hgb_poisson|lean,36.5,0,OK
2024-10-30,Tower B,large,256,201.0,80.1,44.0,358.0,train,Wednesday,October,577,True,hgb_poisson|lean,34.8,0,OK
2024-10-31,Tower B,large,222,212.8,82.4,51.3,374.3,train,Thursday,October,577,True,hgb_poisson|lean,36.9,0,OK
2024-11-01,Tower B,large,163,183.2,76.5,33.3,333.1,train,Friday,November,577,True,hgb_poisson|lean,31.8,0,OK
2024-11-02,Tower B,large,140,72.5,48.1,0.0,166.7,train,Saturday,November,577,True,hgb_poisson|lean,12.6,0,OK
2024-11-04,Tower B,large,163,170.2,73.7,25.7,314.6,train,Monday,November,577,True,hgb_poisson|lean,29.5,0,OK
